{# TYPE, slot, tier, x, y, famebonus},
{#913, 9, -1, 160, 1040, 0},
{#C27, 9, -1, 200, 1040, 2},
{#C28, 6, -1, 240, 1040, 2},
{#C29, 2, -1, 280, 1040, 4},
{#C2A, 22, -1, 320, 1040, 6},
{#C2B, 10, -1, 360, 1040, 0},
{#C2C, 10, -1, 400, 1040, 0},
{#C2D, 9, -1, 440, 1040, 3},
{#C2E, 10, -1, 480, 1040, 0},
{#C30, 23, -1, 520, 1040, 4},
{#C31, 9, -1, 560, 1040, 4},
{#C32, 14, -1, 600, 1040, 5},
{#C33, 8, -1, 640, 1040, 4},
{#C34, 10, -1, 680, 1040, 0},
{#C35, 10, -1, 720, 1040, 0},
{#C36, 10, -1, 760, 1040, 0},
{#C37, 10, -1, 800, 1040, 0},
{#C38, 10, -1, 840, 1040, 0},
{#C39, 10, -1, 880, 1040, 0},
{#C3A, 10, -1, 920, 1040, 0},
{#C3B, 10, -1, 960, 1040, 0},
{#C3C, 10, -1, 0, 1080, 0},
{#C3D, 10, -1, 40, 1080, 0},
{#C3E, 9, -1, 80, 1080, 3},
{#C3F, 9, -1, 120, 1080, 2},
{#C40, 9, -1, 160, 1080, 1},
{#C2F, 10, -1, 200, 1080, 0},
{#C41, 10, -1, 240, 1080, 0},
{#C42, 10, -1, 280, 1080, 0},
{#C43, 10, -1, 320, 1080, 0},
{#C44, 24, 0, 360, 1080, 0},
{#C45, 24, 1, 400, 1080, 0},
{#C46, 24, 2, 440, 1080, 0},
{#C47, 24, 3, 480, 1080, 0},
{#C48, 24, 4, 520, 1080, 0},
{#C49, 24, 5, 560, 1080, 0},
{#C4A, 24, 6, 600, 1080, 0},
{#C4B, 24, 7, 640, 1080, 0},
{#C4C, 24, 8, 680, 1080, 1},
{#C4D, 24, 9, 720, 1080, 1},
{#C4E, 24, 10, 760, 1080, 2},
{#C4F, 24, 11, 800, 1080, 3},
{#C50, 24, 12, 840, 1080, 4},
{#914, 24, -1, 880, 1080, 6},
{#915, 24, -1, 920, 1080, 3},
{#C53, 25, 0, 960, 1080, 0},
{#C54, 25, 1, 0, 1120, 0},
{#C55, 25, 2, 40, 1120, 0},
{#C56, 25, 3, 80, 1120, 1},
{#C57, 25, 4, 120, 1120, 2},
{#C58, 25, 5, 160, 1120, 3},
{#C59, 25, 6, 200, 1120, 4},
{#916, 25, -1, 240, 1120, 0},
{#C5B, 10, -1, 280, 1120, 0},
{#C5C, 10, -1, 320, 1120, 0},
{#C5D, 10, -1, 360, 1120, 0},
{#9CB, 1, -1, 400, 1120, 0},
{#C5F, 9, -1, 440, 1120, 0},
{#C60, 10, -1, 480, 1120, 0},
{#C61, 7, -1, 520, 1120, 4},
{#C62, 10, -1, 560, 1120, 0},
{#C63, 10, -1, 600, 1120, 0},
{#C64, 10, -1, 640, 1120, 0},
{#C65, 10, -1, 680, 1120, 0},
{#C66, 10, -1, 720, 1120, 0},
{#C67, 10, -1, 760, 1120, 0},
{#C68, 10, -1, 800, 1120, 0},
{#C69, 10, -1, 840, 1120, 0},
{#C6A, 10, -1, 880, 1120, 0},
{#C6B, 10, -1, 920, 1120, 0},
{#9D3, 17, -1, 960, 1120, 2},
{#9D2, 4, -1, 0, 1160, 0},
{#C6D, 18, -1, 40, 1160, 4},
{#C6C, 10, -1, 80, 1160, 0},
{#C6E, 7, -1, 120, 1160, 4},
{#C6F, 10, -1, 160, 1160, 0},
{#C70, 10, -1, 200, 1160, 0},
{#C71, 10, -1, 240, 1160, 0},
{#C72, 10, -1, 280, 1160, 0},
{#C73, 10, -1, 320, 1160, 0},
{#C74, 10, -1, 360, 1160, 0},
{#C75, 10, -1, 400, 1160, 0},
{#C76, 10, -1, 440, 1160, 0},
{#C77, 10, -1, 480, 1160, 0},
{#C78, 10, -1, 520, 1160, 0},
{#C79, 10, -1, 560, 1160, 0},
{#C7A, 10, -1, 600, 1160, 0},
{#C7B, 10, -1, 640, 1160, 0},
{#C7C, 10, -1, 680, 1160, 0},
{#C7D, 10, -1, 720, 1160, 0},
{#C7E, 10, -1, 760, 1160, 0},
{#C7F, 10, -1, 800, 1160, 0},
{#C80, 10, -1, 840, 1160, 0},
{#C81, 10, -1, 880, 1160, 0},
{#C82, 6, 14, 920, 1160, 5},
{#C83, 14, 14, 960, 1160, 5},
{#C84, 7, 14, 0, 1200, 5},
{#1500, 10, -1, 40, 1200, 0},
{#1501, 10, -1, 80, 1200, 0},
{#1502, 10, -1, 120, 1200, 0},
{#1503, 10, -1, 160, 1200, 0},
{#1504, 10, -1, 200, 1200, 0},
{#1505, 10, -1, 240, 1200, 0},
{#1506, 10, -1, 280, 1200, 0},
{#1507, 10, -1, 320, 1200, 0},
{#1508, 10, -1, 360, 1200, 0},
{#1509, 10, -1, 400, 1200, 0},
{#150A, 10, -1, 440, 1200, 0},
{#150B, 10, -1, 480, 1200, 0},
{#150C, 10, -1, 520, 1200, 0},
{#150D, 10, -1, 560, 1200, 0},
{#150E, 10, -1, 600, 1200, 0},
{#150F, 10, -1, 640, 1200, 0},
{#1510, 10, -1, 680, 1200, 0},
{#1511, 10, -1, 720, 1200, 0},
{#1512, 10, -1, 760, 1200, 0},
{#1513, 10, -1, 800, 1200, 0},
{#1514, 10, -1, 840, 1200, 0},
{#1515, 10, -1, 880, 1200, 0},
{#1516, 10, -1, 920, 1200, 0},
{#1517, 10, -1, 960, 1200, 0},
{#1518, 10, -1, 0, 1240, 0},
{#1519, 10, -1, 40, 1240, 0},
{#151A, 10, -1, 80, 1240, 0},
{#151B, 10, -1, 120, 1240, 0},
{#151C, 10, -1, 160, 1240, 0},
{#151D, 10, -1, 200, 1240, 0},
{#151E, 10, -1, 240, 1240, 0},
{#151F, 10, -1, 280, 1240, 0},
{#1520, 10, -1, 320, 1240, 0},
{#1521, 10, -1, 360, 1240, 0},
{#1522, 10, -1, 400, 1240, 0},
{#1523, 10, -1, 440, 1240, 0},
{#1524, 10, -1, 480, 1240, 0},
{#1525, 10, -1, 520, 1240, 0},
{#1526, 10, -1, 560, 1240, 0},
{#1527, 10, -1, 600, 1240, 0},
{#1528, 10, -1, 640, 1240, 0},
{#1529, 10, -1, 680, 1240, 0},
{#152A, 10, -1, 720, 1240, 0},
{#152B, 10, -1, 760, 1240, 0},
{#152C, 10, -1, 800, 1240, 0},
{#152D, 10, -1, 840, 1240, 0},
{#152E, 10, -1, 880, 1240, 0},
{#152F, 10, -1, 920, 1240, 0},
{#1530, 10, -1, 960, 1240, 0},
{#1531, 10, -1, 0, 1280, 0},
{#1532, 10, -1, 40, 1280, 0},
{#1533, 10, -1, 80, 1280, 0},
{#1534, 10, -1, 120, 1280, 0},
{#1535, 10, -1, 160, 1280, 0},
{#1536, 10, -1, 200, 1280, 0},
{#1537, 10, -1, 240, 1280, 0},
{#1538, 10, -1, 280, 1280, 0},
{#1539, 10, -1, 320, 1280, 0},
{#153A, 10, -1, 360, 1280, 0},
{#153B, 10, -1, 400, 1280, 0},
{#153C, 10, -1, 440, 1280, 0},
{#153D, 10, -1, 480, 1280, 0},
{#153E, 10, -1, 520, 1280, 0},
{#153F, 10, -1, 560, 1280, 0},
{#1540, 10, -1, 600, 1280, 0},
{#1541, 10, -1, 640, 1280, 0},
{#1542, 10, -1, 680, 1280, 0},
{#1543, 10, -1, 720, 1280, 0},
{#1544, 10, -1, 760, 1280, 0},
{#1545, 10, -1, 800, 1280, 0},
{#1546, 10, -1, 840, 1280, 0},
{#1547, 10, -1, 880, 1280, 0},
{#15AA, 10, -1, 920, 1280, 0},
{#1549, 10, -1, 960, 1280, 0},
{#154A, 10, -1, 0, 1320, 0},
{#154B, 10, -1, 40, 1320, 0},
{#154C, 10, -1, 80, 1320, 0},
{#154D, 10, -1, 120, 1320, 0},
{#154E, 10, -1, 160, 1320, 0},
{#154F, 10, -1, 200, 1320, 0},
{#1550, 10, -1, 240, 1320, 0},
{#1551, 10, -1, 280, 1320, 0},
{#1552, 10, -1, 320, 1320, 0},
{#1553, 10, -1, 360, 1320, 0},
{#1554, 10, -1, 400, 1320, 0},
{#1555, 10, -1, 440, 1320, 0},
{#1556, 10, -1, 480, 1320, 0},
{#1557, 10, -1, 520, 1320, 0},
{#1558, 10, -1, 560, 1320, 0},
{#1200, 10, -1, 600, 1320, 0},
{#1300, 10, -1, 640, 1320, 0},
{#1201, 10, -1, 680, 1320, 0},
{#1301, 10, -1, 720, 1320, 0},
{#1202, 10, -1, 760, 1320, 0},
{#1302, 10, -1, 800, 1320, 0},
{#1203, 10, -1, 840, 1320, 0},
{#1303, 10, -1, 880, 1320, 0},
{#1204, 10, -1, 920, 1320, 0},
{#1304, 10, -1, 960, 1320, 0},
{#1205, 10, -1, 0, 1360, 0},
{#1305, 10, -1, 40, 1360, 0},
{#1206, 10, -1, 80, 1360, 0},
{#1306, 10, -1, 120, 1360, 0},
{#1207, 10, -1, 160, 1360, 0},
{#1307, 10, -1, 200, 1360, 0},
{#1208, 10, -1, 240, 1360, 0},
{#1308, 10, -1, 280, 1360, 0},
{#1209, 10, -1, 320, 1360, 0},
{#1309, 10, -1, 360, 1360, 0},
{#120A, 10, -1, 400, 1360, 0},
{#130A, 10, -1, 440, 1360, 0},
{#120B, 10, -1, 480, 1360, 0},
{#130B, 10, -1, 520, 1360, 0},
{#120C, 10, -1, 560, 1360, 0},
{#130C, 10, -1, 600, 1360, 0},
{#120D, 10, -1, 640, 1360, 0},
{#130D, 10, -1, 680, 1360, 0},
{#120E, 10, -1, 720, 1360, 0},
{#130E, 10, -1, 760, 1360, 0},
{#120F, 10, -1, 800, 1360, 0},
{#130F, 10, -1, 840, 1360, 0},
{#1210, 10, -1, 880, 1360, 0},
{#1310, 10, -1, 920, 1360, 0},
{#1211, 10, -1, 960, 1360, 0},
{#1311, 10, -1, 0, 1400, 0},
{#1212, 10, -1, 40, 1400, 0},
{#1312, 10, -1, 80, 1400, 0},
{#1213, 10, -1, 120, 1400, 0},
{#1313, 10, -1, 160, 1400, 0},
{#1214, 10, -1, 200, 1400, 0},
{#1314, 10, -1, 240, 1400, 0},
{#1215, 10, -1, 280, 1400, 0},
{#1315, 10, -1, 320, 1400, 0},
{#1216, 10, -1, 360, 1400, 0},
{#1316, 10, -1, 400, 1400, 0},
{#1217, 10, -1, 440, 1400, 0},
{#1317, 10, -1, 480, 1400, 0},
{#1218, 10, -1, 520, 1400, 0},
{#1318, 10, -1, 560, 1400, 0},
{#1219, 10, -1, 600, 1400, 0},
{#1319, 10, -1, 640, 1400, 0},
{#121A, 10, -1, 680, 1400, 0},
{#131A, 10, -1, 720, 1400, 0},
{#121B, 10, -1, 760, 1400, 0},
{#131B, 10, -1, 800, 1400, 0},
{#121C, 10, -1, 840, 1400, 0},
{#131C, 10, -1, 880, 1400, 0},
{#121D, 10, -1, 920, 1400, 0},
{#131D, 10, -1, 960, 1400, 0},
{#121E, 10, -1, 0, 1440, 0},
{#131E, 10, -1, 40, 1440, 0},
{#121F, 10, -1, 80, 1440, 0},
{#131F, 10, -1, 120, 1440, 0},
{#1220, 10, -1, 160, 1440, 0},
{#1320, 10, -1, 200, 1440, 0},
{#1221, 10, -1, 240, 1440, 0},
{#1321, 10, -1, 280, 1440, 0},
{#1222, 10, -1, 320, 1440, 0},
{#1322, 10, -1, 360, 1440, 0},
{#1223, 10, -1, 400, 1440, 0},
{#1323, 10, -1, 440, 1440, 0},
{#1224, 10, -1, 480, 1440, 0},
{#1324, 10, -1, 520, 1440, 0},
{#1225, 10, -1, 560, 1440, 0},
{#1325, 10, -1, 600, 1440, 0},
{#1226, 10, -1, 640, 1440, 0},
{#1326, 10, -1, 680, 1440, 0},
{#1227, 10, -1, 720, 1440, 0},
{#1327, 10, -1, 760, 1440, 0},
{#1228, 10, -1, 800, 1440, 0},
{#1328, 10, -1, 840, 1440, 0},
{#1229, 10, -1, 880, 1440, 0},
{#1329, 10, -1, 920, 1440, 0},
{#122A, 10, -1, 960, 1440, 0},
{#132A, 10, -1, 0, 1480, 0},
{#122B, 10, -1, 40, 1480, 0},
{#132B, 10, -1, 80, 1480, 0},
{#122C, 10, -1, 120, 1480, 0},
{#132C, 10, -1, 160, 1480, 0},
{#122D, 10, -1, 200, 1480, 0},
{#132D, 10, -1, 240, 1480, 0},
{#122E, 10, -1, 280, 1480, 0},
{#132E, 10, -1, 320, 1480, 0},
{#122F, 10, -1, 360, 1480, 0},
{#132F, 10, -1, 400, 1480, 0},
{#1230, 10, -1, 440, 1480, 0},
{#1330, 10, -1, 480, 1480, 0},
{#1231, 10, -1, 520, 1480, 0},
{#1331, 10, -1, 560, 1480, 0},
{#1232, 10, -1, 600, 1480, 0},
{#1332, 10, -1, 640, 1480, 0},
{#1233, 10, -1, 680, 1480, 0},
{#1333, 10, -1, 720, 1480, 0},
{#1234, 10, -1, 760, 1480, 0},
{#1334, 10, -1, 800, 1480, 0},
{#1235, 10, -1, 840, 1480, 0},
{#1335, 10, -1, 880, 1480, 0},
{#1236, 10, -1, 920, 1480, 0},
{#1336, 10, -1, 960, 1480, 0},
{#1237, 10, -1, 0, 1520, 0},
{#1337, 10, -1, 40, 1520, 0},
{#1238, 10, -1, 80, 1520, 0},
{#1338, 10, -1, 120, 1520, 0},
{#1239, 10, -1, 160, 1520, 0},
{#1339, 10, -1, 200, 1520, 0},
{#123A, 10, -1, 240, 1520, 0},
{#133A, 10, -1, 280, 1520, 0},
{#123B, 10, -1, 320, 1520, 0},
{#133B, 10, -1, 360, 1520, 0},
{#123C, 10, -1, 400, 1520, 0},
{#133C, 10, -1, 440, 1520, 0},
{#123D, 10, -1, 480, 1520, 0},
{#133D, 10, -1, 520, 1520, 0},
{#123E, 10, -1, 560, 1520, 0},
{#133E, 10, -1, 600, 1520, 0},
{#123F, 10, -1, 640, 1520, 0},
{#133F, 10, -1, 680, 1520, 0},
{#1240, 10, -1, 720, 1520, 0},
{#1340, 10, -1, 760, 1520, 0},
{#1241, 10, -1, 800, 1520, 0},
{#1341, 10, -1, 840, 1520, 0},
{#1242, 10, -1, 880, 1520, 0},
{#1342, 10, -1, 920, 1520, 0},
{#1243, 10, -1, 960, 1520, 0},
{#1343, 10, -1, 0, 1560, 0},
{#1244, 10, -1, 40, 1560, 0},
{#1344, 10, -1, 80, 1560, 0},
{#1245, 10, -1, 120, 1560, 0},
{#1345, 10, -1, 160, 1560, 0},
{#1246, 10, -1, 200, 1560, 0},
{#1346, 10, -1, 240, 1560, 0},
{#1247, 10, -1, 280, 1560, 0},
{#1347, 10, -1, 320, 1560, 0},
{#1248, 10, -1, 360, 1560, 0},
{#1348, 10, -1, 400, 1560, 0},
{#1249, 10, -1, 440, 1560, 0},
{#1349, 10, -1, 480, 1560, 0},
{# TYPE, starts, averages, maxes, slots},
{#0300, [150, 100, 10, 0, 15, 15, 15, 10},
{#0307, [130, 100, 12, 0, 12, 12, 12, 10},
{#030E, [100, 100, 12, 0, 10, 15, 12, 12},
{#0310, [100, 100, 10, 0, 12, 12, 10, 15},
{#031D, [200, 100, 15, 0, 7, 10, 10, 10},
{#031E, [200, 100, 15, 0, 7, 10, 10, 10},
{#031F, [200, 100, 12, 0, 7, 10, 10, 10},
{#0320, [150, 100, 12, 0, 15, 15, 15, 10},
{#0321, [100, 100, 12, 0, 10, 15, 10, 12},
{#0322, [130, 100, 12, 0, 12, 12, 12, 10},
{#0323, [100, 100, 10, 0, 12, 10, 15, 15},
{#0324, [150, 100, 10, 0, 12, 15, 12, 12},
{#0325, [100, 100, 10, 0, 12, 12, 10, 15},
{#0326, [150, 100, 15, 0, 10, 12, 10, 12},
